page views,name
1013091,Albert Einstein
560566,Srinivasa Ramanujan
527314,Isaac Newton
373412,Aristotle
311595,Galileo Galilei
279175,Aryabhata
191500,René Descartes
151231,Archimedes
106622,John von Neumann
97531,Blaise Pascal
83509,Leonhard Euler
73711,Johannes Kepler
65649,Thales  of Miletus
59148,Brahmagupta
43298,Emmy Noether
42222,Kurt Gödel
41291,Georg Cantor
37304,David Hilbert
35675,Pierre-Simon Laplace
27483,Bernhard Riemann
26916,Henri Poincaré
26081,Christiaan Huygens
23602,Évariste Galois
20662,Pierre de Fermat
19208,Joseph-Louis Lagrange
17225,Joseph Fourier
13497,Jacob Bernoulli
11800,George Pólya
10975,Hermann Minkowski
10668,Richard Dedekind
10347,Jean-Pierre Serre
9534,Jean le Rond d'Alembert
9109,André Weil
9021,Johann Bernoulli
8350,Alfred Tarski
7582,Shiing-Shen Chern
7518,Giuseppe Peano
7045,Apollonius  of Perga
5990,Stefan Banach
5634,Eudoxus  of Cnidus
4897,Arthur Cayley
4650,Gaspard Monge
3979,François Viète
3840,Jacques Hadamard
3625,Élie Cartan
3531,Pappus  of Alexandria
3020,Charles Hermite
2834,Felix Hausdorff
2291,Liu Hui
2231,Joseph Liouville
2104,Atle Selberg
1902,Julius Plücker
1842,Bonaventura Cavalieri
1599,Carl Ludwig Siegel
1531,Jakob Steiner
1408,Jean-Victor Poncelet
781,Girolamo Cardano
620,Augustin Cauchy
398,Pythagoras  of Samos
325,Euclid  of Alexandria
320,L.E.J. Brouwer
318,Alan M. Turing
281,Diophantus  of Alexandria
200,Niels Abel
154,Alexandre Grothendieck
98,Hipparchus  of Nicaea
68,James C. Maxwell
59,Carl F. Gauss
56,Pafnuti Chebyshev
43,Michael F. Atiyah
33,Archytas  of Tarentum
26,George D. Birkhoff
22,Felix Christian Klein
19,Henri Léon Lebesgue
14,John E. Littlewood
13,Marius Sophus Lie
10,Johann H. Lambert
6,Siméon-Denis Poisson
4,Godfrey H. Hardy
4,Carl G. J. Jacobi
4,Andrey N. Kolmogorov
-1,William R. Hamilton
-1,Peter G. L. Dirichlet
-1,Panini  of Shalatula
-1,Omar al-Khayyám
-1,Muhammed al-Khowârizmi
-1,M. E. Camille Jordan
-1,Leonardo `Fibonacci'
-1,Karl W. T. Weierstrass
-1,James J. Sylvester
-1,Hermann K. H. Weyl
-1,Hermann G. Grassmann
-1,Gottfried W. Leibniz
-1,F.E.J. Émile Borel
-1,F. L. Gottlob Frege
-1,F. Gotthold Eisenstein
-1,Ernst E. Kummer
-1,Bháscara (II) Áchárya
-1,Alhazen ibn al-Haytham
-1,Adrien M. Legendre
